update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.105.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|46.244.32.0/20|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.38.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.81.128.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.81.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.79.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.161.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.83.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.178.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.89.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.75.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.91.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.77.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.68.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.222.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.195.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.210.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|51.254.0.0/15|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|54.39.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|54.36.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|54.37.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|54.38.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|15.235.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|66.70.128.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|15.204.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|79.137.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|87.98.128.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.88.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.95.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.94.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.91.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.93.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.92.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.89.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.90.90.0/24|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.121.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|91.134.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|92.222.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|92.246.224.0/19|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|94.23.0.0/16|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|103.5.12.0/22|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|107.189.64.0/18|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|15.204.128.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|135.148.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|135.125.0.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
update|A|1634025022.000000|ris|rrc22|None|None|48571|86.104.125.156|135.125.128.0/17|86.104.125.156|48571 8708 16276|8708:303 48571:20000|None|None
