update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.38.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.68.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.75.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.77.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.83.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.89.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.91.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.178.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.195.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.210.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|51.254.0.0/15|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|54.36.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|54.37.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|54.38.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|79.137.0.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|87.98.128.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.88.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.89.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.90.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.91.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.92.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.93.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.94.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.90.95.0/24|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.121.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|91.134.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|92.222.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|92.246.224.0/19|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|94.23.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|135.125.0.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|135.125.128.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|137.74.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|141.94.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|141.95.0.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|141.95.128.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|145.239.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|146.59.0.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|146.59.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|147.135.128.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|149.202.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|151.80.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|152.228.128.0/17|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
update|A|1634125857.000000|ris|rrc20|None|None|25091|91.206.52.117|164.132.0.0/16|91.206.52.117|25091 16276|25091:16276 25091:22414|None|None
